Timestamp,Star Trek: Beyond,Suicide Squad,The Lobster,Pets,Deadpool,Batman: The Dark Knight,Pulp Fiction,The Lord of the Rings: The Return of the King
9/5/2016 23:00:17,4,3,5,,4,4,5,4
9/5/2016 23:06:07,,3,1,5,5,3,4,4
9/6/2016 0:35:36,3,2,5,1,2,1,3,4
9/6/2016 5:13:56,,,3,,,,4,5
9/6/2016 6:19:11,3,,,,,,,3
9/6/2016 7:50:03,,,2,3,,,,2
9/6/2016 8:02:36,4,2,4,5,2,2,5,4
9/6/2016 10:07:05,4,2,5,3,5,2,5,5
9/6/2016 11:59:27,4,3,2,5,5,5,5,4
9/6/2016 14:59:01,5,3,3,5,3,3,3,5
9/6/2016 15:17:07,4,3,5,,4,4,5,4
9/6/2016 22:05:36,,,,,,,2,
9/6/2016 22:32:14,,,,,,3,4,3
9/6/2016 23:01:59,4,,,,4,4,,5
9/7/2016 9:45:14,3,3,3,4,4,5,5,4